,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,Luka Don?i?,DAL,12,12,36.9,11.7,23.5,.496,2.3,8.2,.286,8.7,11.6,.748,1.0,7.7,8.7,8.1,2.0,0.7,3.3,3.3,34.3,28.0
1,2,Stephen Curry,GSW,12,12,35.2,11.0,20.9,.526,5.2,11.9,.434,5.6,6.1,.918,0.7,6.1,6.8,6.5,1.1,0.1,2.7,2.1,32.8,26.8
2,3,Giannis Antetokounmpo,MIL,9,9,32.7,11.4,21.1,.542,0.9,3.3,.267,8.0,12.3,.649,1.9,10.3,12.2,5.3,1.1,1.4,3.3,2.9,31.8,25.6
3,4,Shai Gilgeous-Alexander,OKC,12,12,35.9,11.5,21.2,.543,1.0,2.8,.364,7.1,7.6,.934,0.8,3.6,4.4,5.7,2.1,1.5,3.3,2.5,31.1,25.1
4,5,Jayson Tatum,BOS,13,13,37.5,10.4,20.8,.500,3.7,9.5,.387,7.8,9.0,.872,0.8,6.5,7.2,4.1,0.8,1.3,2.5,2.2,32.3,25.1
5,6,Kevin Durant,BRK,14,14,37.0,10.2,19.5,.524,1.7,4.8,.358,8.4,9.2,.915,0.4,6.2,6.6,5.3,0.9,1.9,3.3,2.5,30.6,24.6
6,7,Joel Embiid,PHI,10,10,35.2,10.8,20.1,.537,0.9,3.8,.237,9.8,11.8,.831,1.6,8.5,10.1,4.1,0.6,1.8,4.2,3.4,32.3,24.6
7,8,Donovan Mitchell,CLE,11,11,39.1,11.2,21.8,.513,4.2,9.6,.434,5.1,5.8,.875,1.0,3.7,4.7,6.1,1.4,0.6,3.4,2.9,31.6,23.9
8,9,Nikola Joki?,DEN,13,13,31.1,7.9,13.1,.606,0.6,2.2,.286,4.3,4.9,.875,1.5,7.9,9.5,8.9,1.5,0.6,3.2,2.7,20.8,21.9
9,10,Jimmy Butler,MIA,11,11,35.6,6.9,14.2,.487,0.9,2.5,.370,7.4,8.3,.890,2.0,4.5,6.5,6.1,1.9,0.2,1.5,1.5,22.1,21.5
