,Player,Team
0,Kevin Durant,BKN
1,Jayson Tatum,BOS
2,Luka Doncic,DAL
3,Stephen Curry,GSW
4,Shai Gilgeous-Alexander,OKC
5,Donovan Mitchell,CLE
6,Ja Morant,MEM
7,DeMar DeRozan,CHI
8,Trae Young,ATL
9,Lauri Markkanen,UTH
10,Joel Embiid,PHI
11,Devin Booker,PHO
12,Tyrese Maxey,PHI
13,Jaylen Brown,BOS
14,Bojan Bogdanovic,DET
15,Karl-Anthony Towns,MIN
16,Desmond Bane,MEM
17,Paul George,LAC
18,Anthony Edwards,MIN
19,Anthony Davis,LAL
20,Giannis Antetokounmpo,MIL
21,Keldon Johnson,SAS
22,Jalen Green,HOU
23,Dejounte Murray,ATL
24,De'Aaron Fox,SAC
25,Kelly Oubre,CHA
26,Jordan Clarkson,UTH
27,Julius Randle,NYK
28,Nikola Jokic,DEN
29,Kristaps Porzingis,WAS
30,Franz Wagner,ORL
31,OG Anunoby,TOR
32,Paolo Banchero,ORL
33,Zion Williamson,NOR
34,Kyle Kuzma,WAS
35,Jalen Brunson,NYK
36,LeBron James,LAL
37,Kevin Porter,HOU
38,Jerami Grant,POR
39,RJ Barrett,NYK
40,Tyrese Haliburton,IND
41,Anfernee Simons,POR
42,Jimmy Butler,MIA
43,Cade Cunningham,DET
44,Bennedict Mathurin,IND
45,Bam Adebayo,MIA
46,Saddiq Bey,DET
47,CJ McCollum,NOR
48,Gary Trent,TOR
49,Damian Lillard,POR
50,Wendell Carter,ORL
51,Andrew Wiggins,GSW
52,Jaden Ivey,DET
53,Buddy Hield,IND
54,Nikola Vucevic,CHI
55,Pascal Siakam,TOR
56,Spencer Dinwiddie,DAL
57,Zach LaVine,CHI
58,P.J. Washington,CHA
59,Michael Porter,DEN
60,Domantas Sabonis,SAC
61,Kyrie Irving,BKN
62,Collin Sexton,UTH
63,Tobias Harris,PHI
64,Jordan Poole,GSW
65,D'Angelo Russell,MIN
66,Max Strus,MIA
67,Kevin Huerter,SAC
68,James Harden,PHI
69,Russell Westbrook,LAL
70,Jrue Holiday,MIL
71,Tyler Herro,MIA
72,De'Andre Hunter,ATL
73,Jamal Murray,DEN
74,Bradley Beal,WAS
75,Brandon Ingram,NOR
76,Evan Mobley,CLE
77,Devin Vassell,SAS
78,Brook Lopez,MIL
79,Aaron Gordon,DEN
80,Mikal Bridges,PHO
81,Scottie Barnes,TOR
82,Kelly Olynyk,UTH
83,Fred VanVleet,TOR
84,Malik Beasley,UTH
85,Lonnie Walker,LAL
86,Jonas Valanciunas,NOR
87,Isaiah Stewart,DET
88,Caris LeVert,CLE
89,Alperen Sengun,HOU
90,Luguentz Dort,OKC
91,Dillon Brooks,MEM
92,Terry Rozier,CHA
93,Kyle Lowry,MIA
94,Rudy Gobert,MIN
95,Jarrett Allen,CLE
96,Nic Claxton,BKN
97,Jakob Poeltl,SAS
98,Bol Bol,ORL
99,Klay Thompson,GSW
100,Marcus Morris,LAC
101,John Collins,ATL
102,Tre Jones,SAS
103,Bobby Portis,MIL
104,Christian Wood,DAL
105,Kevin Love,CLE
106,Rui Hachimura,WAS
107,Jaden McDaniels,MIN
108,Norman Powell,LAC
109,Tyus Jones,MEM
110,Ayo Dosunmu,CHI
111,Jaylen Nowell,MIN
112,Malcolm Brogdon,BOS
113,Mike Conley,UTH
114,Trey Murphy,NOR
115,Jalen McDaniels,CHA
116,Darius Garland,CLE
117,Josh Giddey,OKC
118,Nick Richards,CHA
119,Kenyon Martin,HOU
120,Mason Plumlee,CHA
121,Chris Boucher,TOR
122,Deandre Ayton,PHO
123,Royce O'Neale,BKN
124,Tre Mann,OKC
125,Eric Gordon,HOU
126,Kentavious Caldwell-Pope,DEN
127,Malik Monk,SAC
